name,price,description,image,category,stock
Wireless Noise-Cancelling Headphones,199.99,Premium over-ear headphones with active noise cancellation and 30-hour battery life,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=600&h=600&fit=crop,Electronics,45
Ultra-Slim Laptop 15 inch,1299.99,Powerful 15-inch laptop with M2 chip and Retina display for professionals,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=600&h=600&fit=crop,Electronics,20
Classic Analog Wristwatch,249.99,Elegant stainless steel watch with leather strap and Swiss movement,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=600&h=600&fit=crop,Accessories,35
Polarized Aviator Sunglasses,89.99,UV400 protection aviator sunglasses with gold metal frame,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=600&h=600&fit=crop,Accessories,60
Professional DSLR Camera,899.99,Full-frame DSLR camera with 24.2MP sensor and 4K video recording,https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=600&h=600&fit=crop,Electronics,15
Red Running Sneakers,129.99,Lightweight breathable running shoes with cushioned sole,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600&h=600&fit=crop,Footwear,80
Ceramic Coffee Mug Set,34.99,Set of 4 handcrafted ceramic mugs in earth tone colors,https://images.unsplash.com/photo-1514228742587-6b1558fcca3d?w=600&h=600&fit=crop,Home & Kitchen,100
Urban Travel Backpack,79.99,Water-resistant backpack with laptop compartment and USB charging port,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=600&h=600&fit=crop,Accessories,55
Mechanical Gaming Keyboard,149.99,RGB mechanical keyboard with Cherry MX switches and aluminum frame,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=600&h=600&fit=crop,Electronics,40
Smartphone Pro Max,999.99,Latest flagship smartphone with 6.7-inch OLED display and triple camera,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=600&h=600&fit=crop,Electronics,30
Portable Bluetooth Speaker,69.99,Waterproof portable speaker with 360-degree sound and 12-hour battery,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=600&h=600&fit=crop,Electronics,70
Classic White Cotton T-Shirt,29.99,Premium 100% organic cotton crew neck t-shirt,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=600&h=600&fit=crop,Fashion,150
Luxury Eau de Parfum,124.99,Premium fragrance with notes of bergamot and sandalwood 100ml,https://images.unsplash.com/photo-1541643600914-78b084683601?w=600&h=600&fit=crop,Beauty,40
Insulated Water Bottle,24.99,Double-wall vacuum insulated stainless steel water bottle 750ml,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=600&h=600&fit=crop,Sports,120
Indoor Potted Plant,39.99,Low-maintenance monstera deliciosa in decorative ceramic pot,https://images.unsplash.com/photo-1459411552884-841db9b3cc2a?w=600&h=600&fit=crop,Home & Kitchen,25
Wireless Earbuds Pro,159.99,True wireless earbuds with ANC spatial audio and wireless charging case,https://images.unsplash.com/photo-1590658268037-6bf12f032f55?w=600&h=600&fit=crop,Electronics,65
Leather Crossbody Bag,189.99,Genuine Italian leather crossbody bag with adjustable strap,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=600&h=600&fit=crop,Fashion,30
Yoga Mat Premium,49.99,Extra thick non-slip yoga mat with alignment lines and carrying strap,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?w=600&h=600&fit=crop,Sports,85
Minimalist Desk Lamp,59.99,LED desk lamp with adjustable brightness and wireless phone charging base,https://images.unsplash.com/photo-1507473885765-e6ed057ab6fe?w=600&h=600&fit=crop,Home & Kitchen,45
Denim Jacket Classic Fit,89.99,Vintage wash denim jacket with button closure and chest pockets,https://images.unsplash.com/photo-1576995853123-5a10305d93c0?w=600&h=600&fit=crop,Fashion,50
Gaming Mouse RGB,59.99,High-precision gaming mouse with 16000 DPI sensor and programmable buttons,https://images.unsplash.com/photo-1527814050087-3793815479db?w=600&h=600&fit=crop,Electronics,75
Scented Candle Collection,42.99,Set of 3 soy wax candles in vanilla lavender and ocean breeze,https://images.unsplash.com/photo-1602607713284-e6d1a9b30e58?w=600&h=600&fit=crop,Home & Kitchen,90
Running Fitness Tracker,199.99,Advanced fitness tracker with GPS heart rate monitor and sleep tracking,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=600&h=600&fit=crop,Electronics,50
